name,authors,genre,subcategory,note,rack,shelf,comic_book
Akta Odessy,Frederick Forsyth,Sensacja,,,2,4,FALSE
Nieuchwytny Cel,Robert Tine,Sensacja,,,2,4,FALSE
Zamach na nowy jork,Mike W. Kerrigan,Sensacja,,,2,4,FALSE
Maigret i trup młodej kobiety,Georges Simenon,Sensacja,,,2,4,FALSE
Skok w brunei,Gerard de Villiers,Sensacja,,,1,6,FALSE
Cosa Nostra,Grażyna Dziedzińska,Sensacja,,,2,4,FALSE
Safari w la paz,Gerard de Villiers,Sensacja,,,1,6,FALSE
Najemnicy,Tomasz A. Malik,Sensacja,,,1,6,FALSE
Operacja Madonna,K.P. Werden,Sensacja,,,1,6,FALSE
Zbrodnia WIelkiego Człowieka,Adam Hollanek,Sensacja,,,1,6,FALSE
Powrót Szakala,Jack Oakley,Sensacja,,,2,4,FALSE
Whirlwind I II,James Clavell,Sensacja,Cykl,Whirlwind,1,5,FALSE
Whirlwind III IV,James Clavell,Sensacja,Cykl,Whirlwind,1,5,FALSE
To niesłychane,Serge Jacquemard,Sensacja,,,1,5,FALSE
Requiem dla króla zbrodni,Serge Jacquemard,Sensacja,,,1,5,FALSE
Śmierć idzie za nim krok w krok,Serge Jacquemard,Sensacja,,,1,5,FALSE
Syngrom Segre,Jhon Howlett,Sensacja,,,1,5,FALSE
Oko Świata I,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Oko Świata II,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Wielkie Polowanie I,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Wielkie Polowanie II,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Róg Valere,Robert Jordan,Fantasy,Cykl,Koło Czasu - z duplikatem,2,3,FALSE
Smok Odrodzony I,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Smok Odrodzony II,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Triumf Chaosu I,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Triumf Chaosu II,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Czarna Wieża,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Czara Wiatrór,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Korona Mieczy,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Ścieżka Sztyletow,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Dech Zimy,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Rozstaje Zmierzchu,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Wichry Cienia,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Gilotyna Marzeń,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Książe Kruków,Robert Jordan,Fantasy,Cykl,Koło Czasu,2,3,FALSE
Najeźdźca,C. J. Cherryh,SF,Cykl,Przybysz,5,3,FALSE
Forteca w źrenicy czasu,C. J. Cherryh,Fantasy,,,5,3,FALSE
Prekursor,C. J. Cherryh,SF,Cykl,Przybysz,5,3,FALSE
Kesrith,C. J. Cherryh,SF,Cykl,Gasnące Słońce,5,3,FALSE
Ludzie z gwiazdy pella,C. J. Cherryh,SF,,z duplikatem,5,3,FALSE
Gwiazdy moim przeznaczeniem,Alfred Bester,SF,,,2,5,FALSE
Niebieski krąg,Kazimierz Jordan,SF,,,2,5,FALSE
